drg_segment,total_passengers_2022,total_passengers_2015,wifi_service,city_attraction_area,city_category_in_attraction_area_2020,department,region,sum_municipal_population_2021,non_scholarized_15_years_old_or_more_2020,main_residences_2020,housing_2020,jobs_at_workplace_2020,hotels_2024_sum,camping_sites_2024_sum,other_tourist_accommodations_2024_sum,latitude,longitude,passenger_growth_rate,attraction_density,city_size_category,Dubious,total_non_passengers_2022,total_non_passengers_2015,non_passenger_growth_rate,distance_to_paris,population_category,high_population
B,330425.0,365895.0,0,197,11,57,44,43070,32906,18449,21400,14120,5,0,0,49.1892278,6.9013184,-0.09694037907049836,0.00011609008590666357,Small,No,72532.0,80319.0,-0.09695090825333981,334.9230692577567,"(0, 300000]",Low
C,154522.0,173034.0,0,028,20,21,27,414799,296478,196357,219324,179356,113,16,9,47.520454,5.129481,-0.10698475444132367,0.0003326912552826791,Large,No,38631.0,43259.0,-0.10698351788067223,255.63917247886988,"(300000, 600000]",High
B,734198.0,464652.0,0,001,20,78,11,13171056,9184054,5642167,6342502,6066757,2555,89,251,49.00564,1.90213,0.5801029587734476,0.00021980014358757567,Huge,No,0.0,0.0,0.0,35.083305380849325,"(12900000, 13200000]",High
C,5356.0,7061.0,0,000,30,66,76,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,42.4324069,1.9486704,-0.24146721427559836,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,716.0788681991583,"(4200000, 4500000]",High
B,531922.0,412872.0,0,082,11,81,76,139305,105551,66431,76266,51243,27,12,3,43.92238,2.137958,0.28834602491813444,0.0003014967158393453,Medium,Yes,132980.0,103218.0,0.28834118080179816,549.9832182352902,"(0, 300000]",Low
B,398404.0,301557.0,0,014,20,38,84,722904,509389,327884,386478,314066,122,48,27,45.300996,5.492194,0.3211565309377663,0.00027251197946061994,Large,Yes,99601.0,75390.0,0.32114338771720385,462.94114139313575,"(600000, 900000]",High
C,20887.0,40212.0,0,039,20,76,28,334482,243315,150616,170389,132770,51,7,12,49.5285649,0.2522963,-0.4805779369342485,0.00020927882516846947,Large,No,0.0,0.0,0.0,168.16196042324808,"(300000, 600000]",High
C,9465.0,6628.0,0,000,30,24,75,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,44.8537384,0.0215683,0.4280325890162945,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,479.52794672192414,"(4200000, 4500000]",High
B,948491.0,838046.0,0,001,12,78,11,13171056,9184054,5642167,6342502,6066757,2555,89,251,48.97095,2.02771,0.13178870849571503,0.00021980014358757567,Huge,No,0.0,0.0,0.0,25.16272193949711,"(12900000, 13200000]",High
C,61257.0,46471.0,0,019,20,37,24,522597,377061,244387,276078,214496,152,37,11,47.330554,1.0661,0.31817692754621163,0.00038270407216267984,Large,Yes,0.0,0.0,0.0,195.0095804830484,"(300000, 600000]",High
C,2123.0,1348.0,0,101,11,24,75,113435,87239,54800,64193,48521,27,9,1,45.1783328,0.7336349,0.5749258160237388,0.00032617798739366155,Medium,Yes,0.0,0.0,0.0,427.64819270774706,"(0, 300000]",Low
B,1067490.0,979424.0,0,274,11,54,44,25882,18932,11317,12831,9324,7,0,0,48.90058,6.050842,0.08991611396085862,0.0002704582335213662,Small,No,250400.0,229742.0,0.08991825613079019,271.826077714942,"(0, 300000]",Low
C,33338.0,37137.0,0,248,11,76,28,28841,22991,13772,20213,10736,17,13,3,50.0541988,1.416837,-0.10229690066510488,0.0011442044311917063,Small,No,0.0,0.0,0.0,147.72689862208117,"(0, 300000]",Low
C,65223.0,41904.0,0,044,20,64,75,283042,209498,131771,152200,116389,50,15,7,43.3931062,-0.5701881,0.5564862542955327,0.000254379208739339,Large,Yes,0.0,0.0,0.0,648.3278732919954,"(0, 300000]",Low
C,23878.0,17792.0,0,065,20,28,24,170935,126231,75568,86106,66392,30,2,4,48.4476422,1.3318387,0.34206384892086333,0.00021060637084271798,Medium,Yes,0.0,0.0,0.0,87.07456404192135,"(0, 300000]",Low
C,244.0,414.0,0,044,20,64,75,283042,209498,131771,152200,116389,50,15,7,43.1269731,-0.1982813,-0.4106280193236715,0.000254379208739339,Large,No,0.0,0.0,0.0,667.4101313748165,"(0, 300000]",Low
C,31557.0,27074.0,0,000,30,41,24,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,47.2816956,1.5461989,0.16558321636994902,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,185.68750964747684,"(4200000, 4500000]",High
