Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2021;Nb de pers. non scolarisées de 15 ans ou + 2020;Résidences principales 2020;Logements 2020;Nb d'emplois au lieu de travail (LT) 2020;Nb étab. actifs employeurs au 31/12 2021;Nb d'hôtels 2024;Nb de chambres dans les hôtels 2024;Nb de terrains de camping 2024;Nb d'emplacements de camping 2024;Nb d'autres hébergements collectifs de tourisme 2024
01166;Frans;2482;1764;984;1032;337;54;0;0;0;0;0
01167;Garnerans;658;507;275;309;61;13;0;0;0;0;0
01169;Genouilleux;650;469;255;281;49;9;0;0;0;0;0
01170;Béard-Géovreissiat;1048;719;387;409;177;29;0;0;0;0;0
01171;Géovreisset;835;629;332;349;92;13;0;0;0;0;0
01173;Gex;13078;9585;5991;6805;2938;204;4;124;1;128;1
01174;Giron;176;131;78;130;41;7;1;30;0;0;0
01175;Gorrevod;786;602;346;388;159;17;1;8;0;0;0
01177;Grand-Corent;184;140;83;115;10;1;0;0;0;0;0
01179;Grièges;1901;1442;846;899;520;35;0;0;0;0;0
01180;Grilly;864;608;341;461;86;19;0;0;0;0;0
01181;Groissiat;1230;933;453;476;845;55;0;0;0;0;0
01183;Guéreins;1495;1086;580;642;513;78;0;0;0;0;0
01184;Hautecourt-Romanèche;758;554;343;518;82;14;0;0;1;125;0
01185;Plateau d'Hauteville;4807;3796;2184;2901;2208;164;3;30;2;137;1
01187;Haut Valromey;609;511;312;632;208;26;1;9;1;33;0
01188;Illiat;689;474;249;268;78;14;0;0;0;0;0
01189;Injoux-Génissiat;1123;826;469;599;133;15;0;0;0;0;0
01190;Innimond;89;69;39;96;15;3;0;0;0;0;0
01191;Izenave;155;122;69;92;35;7;0;0;0;0;0
01192;Izernore;2267;1655;958;1058;1494;89;0;0;0;0;0
01193;Izieu;222;177;102;128;31;5;0;0;0;0;0
