UIC;Gare;Service Wifi
722702;Francheville;Non
694638;Galuzot;Non
746248;Groisy-Thorens-la-Caille;Non
576025;Romorantin (Voie étroite);Non
214320;Rosheim;Non
545210;Ste-Geneviève-des-Bois;Non
396234;Sillé-le-Guillaume;Non
683722;Sermizelles-Vézelay;Non
725614;Sennecey-le-Grand;Non
271445;Sevran-Beaudottes;Oui
746719;Servoz;Non
753202;St-Chamas;Non
193318;St-Avold;Non
584730;St-Loubès;Non
582825;St-Macaire;Non
271460;Roissy-Aéroport-CDG 1;Non
193789;Rohrbach-lès-Bitche;Non
597039;Reuilly (Indre);Non
746511;Reignier;Non
595827;Sarlat;Non
174441;St-Hilaire-au-Temple;Non
611103;St-Martory;Non
755314;La Pauline-Hyères;Non
592378;La Souterraine;Non
487884;La Ménitré;Non
584441;Lalinde;Non
338517;Hoenheim-Tram;Non
214510;Holtzheim;Non
345397;Iwuy;Non
677005;Hendaye;Oui
784710;Joncet;Non
775866;Le Grau-du-Roi;Non
574251;La Chaussée-St-Victor;Non
645150;La Capelle-Viescamp;Non
595215;La Cave;Non
763755;Laragne;Non
677104;Les Deux Jumeaux;Non
586438;Penne (Lot-et-Garonne);Non
393421;Plaisir-Grignon;Non
581256;Pauillac;Non
755389;Pignans;Non
784637;Prades-Molitg-les-Bains;Non
485359;Prissé-la-Charrière;Non
582718;Portets;Non
295022;Recquignies;Non
486894;Torfou;Non
171264;Trois-Puits;Non
193771;Woelfling-lès-Sarreguemines;Non
683102;Villeneuve-la-Guyard;Non
615492;Vielmur-sur-Agout;Non
681619;Villabé;Non
582833;St-Pierre-d'Aurillac;Non
571240;St-Pierre-des-Corps;Oui
296004;St-Quentin;Non
313593;Villers-St-Sépulcre;Non
276378;Villers-St-Paul;Non
618215;Villenouvelle;Non
271452;Villepinte;Non
144063;Vincey;Non
281436;Watten-Éperlecques;Non
144279;Vittel;Non
296608;Versigny;Non
313247;Breteuil-Embranchement;Non
764357;Bollène-la-Croisière;Non
757534;Boulouris-sur-Mer;Non
413351;Bolbec-Nointot;Non
746339;Bonneville;Non
756379;Beaulieu-sur-Mer;Non
783670;Belvezet;Non
592485;Bellac;Non
317230;Auchy-lès-Hesdin;Non
318964;Avignon-TGV;Oui
141531;Bainville;Non
192401;Ars-sur-Moselle;Non
192302;Bénestroff;Non
345553;Bertry;Non
592873;Chabanais;Non
611079;Cazères-sur-Garonne;Non
276063;Cernay (Val-d'Oise);Non
785006;Cerbère;Non
741132;Aix-les-Bains-Le Revard;Oui
172858;Anchamps;Non
595157;Agonac;Non
775288;Alès;Non
575332;Anché-Voulon;Non
721324;Anse;Non
682450;Champagne-sur-Seine;Non
276519;Champagne-sur-Oise;Non
342139;Noeux-les-Mines;Non
751081;Marseille-Blancarde;Non
683847;Mailly-la-Ville;Non
342469;Marquillies;Non
545111;Monnerville;Non
713131;Montbard;Non
746412;Magland;Non
276493;Montsoult-Maffliers;Non
615773;Luc-Primaube;Non
671339;Lourdes;Oui
615542;Mazamet;Non
682005;Melun;Oui
592022;Limoges-Montjovis;Non
761247;Livron;Non
393553;Nonancourt;Non
286583;Orchies;Non
386052;Achères-Grand-Cormier;Non
485193;Aigrefeuille-Le Thou;Non
741256;Aiguebelle;Non
715326;Champagnole;Non
313833;Formerie;Non
172098;Fumay;Non
141036;Foug;Non
345132;Coron-de-Méricourt;Non
171769;Coucy-lès-Eppes;Non
144386;Colroy-Lubine;Non
696146;Cosne;Non
381129;Clichy-Levallois;Oui
184259;Chèvremont;Non
571687;Chinon;Non
313544;Cramoisy;Non
297143;Dercy-Froidmont;Non
287185;Deûlémont;Non
214551;Dachstein;Non
396226;Crissé;Non
484113;Écouflant;Non
478040;Dingé;Non
381566;Gargenville;Non
386763;Épône-Mézières;Non
721563;Fleurieux-sur-l'Arbresle;Non
484154;Étriché-Châteauneuf;Non
611046;Fauga;Non
386425;Maisons-Laffitte;Oui
476689;Malansac;Non
595322;Montpon-Ménestérol;Non
583674;Montmoreau;Non
174409;Mourmelon-le-Petit;Non
751008;Marseille-St-Charles;Oui
784629;Marquixanes;Non
584466;Mauzac;Non
721423;Lozanne;Non
141481;Ludres;Non
574194;Mer (Loir-et-Cher);Non
681411;Mennecy;Non
571406;Montbazon;Non
743591;Molinges;Non
271775;Longpont;Non
213165;Obermodern;Non
411207;Oissel;Non
755363;Puget-Ville;Non
734152;Sarliève-Cournon;Non
618710;Saléchan-Siradan;Non
214684;Russ-Hersbach;Non
491001;Saintes;Non
476457;Quiberon;Non
474155;Rosporden;Non
583203;Ruelle;Non
722652;St-Clair-les-Roches;Non
411272;Pavilly-Station;Non
721464;Pontcharra-St-Forgeux;Non
697326;Pierrefite-Stains TT;Non
141820;Pont-à-Mousson;Non
715003;Pontarlier;Non
745828;Seyssel-Corbonod;Non
576272;St-Florent-sur-Cher;Non
543181;Boulainvilliers;Non
141135;Blainville-Damelevières;Non
645184;Boisset (Cantal);Non
743526;Bellignat;Non
784298;Banyuls-sur-Mer;Non
571638;Azay-le-Rideau;Non
286179;Bailleul (Nord);Non
783266;Aumont-Aubrac;Non
381038;Avenue-Foch;Non
574152;Baule;Non
214247;Barr;Non
345587;Cattenières;Non
191684;Auboué;Non
721035;Amplepuis;Non
582668;Arcachon;Non
613109;Capdenac;Non
671156;Capvern;Non
682120;Brunoy;Oui
387092;Bueil;Non
276725;Chambly;Non
303875;Ingersheim-Cité-Scolaire;Non
297085;La Bouteille;Non
576470;La Guerche-sur-l'Aubois;Non
576355;La Gauterie;Non
582635;La Hume;Non
756809;L'Escarène;Non
581314;Lesparre;Non
746107;Grésy-sur-Aix;Non
413708;Harfleur-Halte;Non
764472;Le Teil (Ardèche);Non
594614;Le Burg;Non
682179;Le Mée;Non
141093;Laneuveville-devant-Nancy;Non
476226;Landaul-Mendon;Non
575118;Les Ormes-sur-Vienne;Non
481259;Les Moutiers-en-Retz;Non
584532;Les Églisottes;Non
746743;Les Houches;Non
721555;Lentilly;Non
751529;L'Ariane;Non
213454;Hunspach;Non
193540;Hundling;Non
718528;L'Hôpital-du-Grosbois;Non
671172;Tournay (Hautes-Pyrénées);Non
734715;St-Vincent-le-Château;Non
182378;Wihr-au-Val-Soultzbach-les-Bai;Non
286526;Wattignies-Templemars;Non
212175;Wilwisheim;Non
747337;Voreppe;Non
297150;Voyenne;Non
471169;St-Senoux-Pléchâtel;Non
761718;St-Marcellin (Isère);Non
753681;St-Martin-de-Crau;Non
574459;St-Martin-le-Beau;Non
742320;St-Jean-de-Maurienne-Arvan;Non
613893;Villefranche-de-Rouergue;Non
393215;Viroflay-Rive-Gauche;Non
313437;Villers-Bretonneux;Non
393538;Vauboyen;Non
761007;Valence;Non
613398;Albias;Non
775346;Boucoiran;Non
