Code géographique;Libellé géographique;Aire d'attraction des villes 2020;Libellé aire d'attraction des villes 2020;Catégorie commune dans aire d'attraction des villes 2020;Département;Région
57615;Saint-Jean-Rohrbach;121;Sarreguemines (partie française);20;57;44
57616;Saint-Julien-lès-Metz;033;Metz;12;57;44
57617;Saint-Jure;033;Metz;20;57;44
57618;Saint-Louis;170;Sarrebourg;20;57;44
57619;Saint-Louis-lès-Bitche;000;Commune hors attraction des villes;30;57;44
57620;Sainte-Marie-aux-Chênes;033;Metz;20;57;44
57621;Saint-Médard;527;Dieuze;20;57;44
57622;Saint-Privat-la-Montagne;033;Metz;20;57;44
57623;Saint-Quirin;170;Sarrebourg;20;57;44
57624;Sainte-Ruffine;033;Metz;20;57;44
57625;Salonnes;020;Nancy;20;57;44
57626;Sanry-lès-Vigy;033;Metz;20;57;44
57627;Sanry-sur-Nied;033;Metz;20;57;44
57628;Sarralbe;121;Sarreguemines (partie française);20;57;44
57629;Sarraltroff;170;Sarrebourg;20;57;44
57630;Sarrebourg;170;Sarrebourg;11;57;44
57631;Sarreguemines;121;Sarreguemines (partie française);11;57;44
57633;Sarreinsming;121;Sarreguemines (partie française);20;57;44
57634;Saulny;033;Metz;20;57;44
57635;Schalbach;170;Sarrebourg;20;57;44
57636;Schmittviller;121;Sarreguemines (partie française);20;57;44
57637;Schneckenbusch;170;Sarrebourg;20;57;44
57638;Schœneck;SAR;Sarrebruck (partie française);20;57;44
57639;Schorbach;517;Bitche;20;57;44
57640;Schwerdorff;000;Commune hors attraction des villes;30;57;44
57641;Schweyen;000;Commune hors attraction des villes;30;57;44
57642;Scy-Chazelles;033;Metz;20;57;44
57643;Secourt;033;Metz;20;57;44
57644;Seingbouse;508;Farébersviller;12;57;44
57645;Semécourt;033;Metz;20;57;44
57647;Serémange-Erzange;LUX;Luxembourg (partie française);13;57;44
57648;Servigny-lès-Raville;033;Metz;20;57;44
57649;Servigny-lès-Sainte-Barbe;033;Metz;20;57;44
57650;Sierck-les-Bains;LUX;Luxembourg (partie française);20;57;44
57651;Siersthal;517;Bitche;20;57;44
57652;Sillegny;033;Metz;20;57;44
57653;Silly-en-Saulnois;033;Metz;20;57;44
57654;Silly-sur-Nied;033;Metz;20;57;44
57655;Solgne;033;Metz;20;57;44
57656;Sorbey;033;Metz;20;57;44
57657;Sotzeling;000;Commune hors attraction des villes;30;57;44
57658;Soucht;000;Commune hors attraction des villes;30;57;44
57659;Spicheren;SAR;Sarrebruck (partie française);20;57;44
57660;Stiring-Wendel;SAR;Sarrebruck (partie française);20;57;44
57661;Sturzelbronn;000;Commune hors attraction des villes;30;57;44
57662;Suisse;033;Metz;20;57;44
57663;Talange;033;Metz;20;57;44
57664;Tarquimpol;527;Dieuze;20;57;44
57665;Tenteling;197;Forbach (partie française);20;57;44
57666;Terville;LUX;Luxembourg (partie française);20;57;44
57667;Téterchen;000;Commune hors attraction des villes;30;57;44
57668;Teting-sur-Nied;178;Saint-Avold (partie française);20;57;44
57669;Théding;197;Forbach (partie française);20;57;44
57670;Thicourt;033;Metz;20;57;44
57671;Thimonville;033;Metz;20;57;44
57672;Thionville;LUX;Luxembourg (partie française);20;57;44
57673;Thonville;033;Metz;20;57;44
57674;Tincry;033;Metz;20;57;44
57675;Torcheville;000;Commune hors attraction des villes;30;57;44
57676;Tragny;033;Metz;20;57;44
57677;Trémery;033;Metz;20;57;44
57678;Tressange;LUX;Luxembourg (partie française);20;57;44
57679;Tritteling-Redlach;178;Saint-Avold (partie française);20;57;44
57680;Troisfontaines;170;Sarrebourg;20;57;44
57681;Tromborn;000;Commune hors attraction des villes;30;57;44
57682;Turquestein-Blancrupt;000;Commune hors attraction des villes;30;57;44
57683;Uckange;LUX;Luxembourg (partie française);13;57;44
57684;Vahl-Ebersing;178;Saint-Avold (partie française);20;57;44
57685;Vahl-lès-Bénestroff;000;Commune hors attraction des villes;30;57;44
57686;Vahl-lès-Faulquemont;461;Faulquemont;20;57;44
57687;Vallerange;541;Morhange;20;57;44
57689;Valmestroff;LUX;Luxembourg (partie française);20;57;44
57690;Valmont;178;Saint-Avold (partie française);20;57;44
57691;Valmunster;501;Bouzonville;20;57;44
