Code géographique;Libellé géographique;Aire d'attraction des villes 2020;Libellé aire d'attraction des villes 2020;Catégorie commune dans aire d'attraction des villes 2020;Département;Région
01001;L'Abergement-Clémenciat;524;Châtillon-sur-Chalaronne;20;01;84
01002;L'Abergement-de-Varey;000;Commune hors attraction des villes;30;01;84
01004;Ambérieu-en-Bugey;243;Ambérieu-en-Bugey;11;01;84
01005;Ambérieux-en-Dombes;002;Lyon;20;01;84
01006;Ambléon;286;Belley;20;01;84
01007;Ambronay;243;Ambérieu-en-Bugey;20;01;84
01008;Ambutrix;243;Ambérieu-en-Bugey;20;01;84
01009;Andert-et-Condon;286;Belley;20;01;84
01010;Anglefort;000;Commune hors attraction des villes;30;01;84
01011;Apremont;168;Oyonnax;20;01;84
01012;Aranc;572;Plateau d'Hauteville;20;01;84
01013;Arandas;243;Ambérieu-en-Bugey;20;01;84
01014;Arbent;168;Oyonnax;20;01;84
01015;Arboys en Bugey;286;Belley;20;01;84
01016;Arbigny;084;Mâcon;20;01;84
01017;Argis;000;Commune hors attraction des villes;30;01;84
01019;Armix;000;Commune hors attraction des villes;30;01;84
01021;Ars-sur-Formans;002;Lyon;20;01;84
01022;Artemare;286;Belley;20;01;84
01023;Asnières-sur-Saône;084;Mâcon;20;01;84
01024;Attignat;080;Bourg-en-Bresse;20;01;84
01025;Bâgé-Dommartin;084;Mâcon;20;01;84
01026;Bâgé-le-Châtel;084;Mâcon;20;01;84
01027;Balan;002;Lyon;20;01;84
01028;Baneins;000;Commune hors attraction des villes;30;01;84
01029;Beaupont;080;Bourg-en-Bresse;20;01;84
01030;Beauregard;002;Lyon;20;01;84
01031;Bellignat;168;Oyonnax;12;01;84
01032;Béligneux;002;Lyon;20;01;84
01033;Valserhône;GEN;Genève - Annemasse (partie française);20;01;84
01034;Belley;286;Belley;11;01;84
01035;Belleydoux;168;Oyonnax;20;01;84
01036;Valromey-sur-Séran;286;Belley;20;01;84
01037;Bénonces;000;Commune hors attraction des villes;30;01;84
01038;Bény;080;Bourg-en-Bresse;20;01;84
01040;Béréziat;080;Bourg-en-Bresse;20;01;84
01041;Bettant;243;Ambérieu-en-Bugey;20;01;84
01042;Bey;084;Mâcon;20;01;84
01043;Beynost;002;Lyon;20;01;84
01044;Billiat;GEN;Genève - Annemasse (partie française);20;01;84
01045;Birieux;002;Lyon;20;01;84
01046;Biziat;000;Commune hors attraction des villes;30;01;84
01047;Blyes;002;Lyon;20;01;84
01049;La Boisse;002;Lyon;20;01;84
01050;Boissey;084;Mâcon;20;01;84
01051;Bolozon;000;Commune hors attraction des villes;30;01;84
01052;Bouligneux;002;Lyon;20;01;84
01053;Bourg-en-Bresse;080;Bourg-en-Bresse;11;01;84
01054;Bourg-Saint-Christophe;002;Lyon;20;01;84
01056;Boyeux-Saint-Jérôme;000;Commune hors attraction des villes;30;01;84
01057;Boz;084;Mâcon;20;01;84
01058;Brégnier-Cordon;000;Commune hors attraction des villes;30;01;84
01060;Brénod;572;Plateau d'Hauteville;20;01;84
01061;Brens;286;Belley;20;01;84
01062;Bressolles;002;Lyon;20;01;84
01063;Brion;168;Oyonnax;20;01;84
01064;Briord;000;Commune hors attraction des villes;30;01;84
01065;Buellas;080;Bourg-en-Bresse;20;01;84
01066;La Burbanche;286;Belley;20;01;84
01067;Ceignes;000;Commune hors attraction des villes;30;01;84
01068;Cerdon;000;Commune hors attraction des villes;30;01;84
01069;Certines;080;Bourg-en-Bresse;20;01;84
01071;Cessy;GEN;Genève - Annemasse (partie française);20;01;84
01072;Ceyzériat;080;Bourg-en-Bresse;20;01;84
01073;Ceyzérieu;286;Belley;20;01;84
01074;Chalamont;002;Lyon;20;01;84
01075;Chaleins;002;Lyon;20;01;84
01076;Chaley;000;Commune hors attraction des villes;30;01;84
01077;Challes-la-Montagne;000;Commune hors attraction des villes;30;01;84
01078;Challex;GEN;Genève - Annemasse (partie française);20;01;84
01079;Champagne-en-Valromey;000;Commune hors attraction des villes;30;01;84
01080;Champdor-Corcelles;572;Plateau d'Hauteville;20;01;84
01081;Champfromier;000;Commune hors attraction des villes;30;01;84
01082;Chanay;GEN;Genève - Annemasse (partie française);20;01;84
01083;Chaneins;000;Commune hors attraction des villes;30;01;84
01084;Chanoz-Châtenay;080;Bourg-en-Bresse;20;01;84
01085;La Chapelle-du-Châtelard;002;Lyon;20;01;84
01087;Charix;168;Oyonnax;20;01;84
01088;Charnoz-sur-Ain;002;Lyon;20;01;84
01089;Château-Gaillard;002;Lyon;20;01;84
01090;Châtenay;000;Commune hors attraction des villes;30;01;84
01092;Châtillon-la-Palud;002;Lyon;20;01;84
01093;Châtillon-sur-Chalaronne;524;Châtillon-sur-Chalaronne;11;01;84
01094;Chavannes-sur-Reyssouze;084;Mâcon;20;01;84
01095;Nivigne et Suran;080;Bourg-en-Bresse;20;01;84
01096;Chaveyriat;080;Bourg-en-Bresse;20;01;84
01098;Chazey-Bons;286;Belley;20;01;84
01099;Chazey-sur-Ain;002;Lyon;20;01;84
01100;Cheignieu-la-Balme;286;Belley;20;01;84
01101;Chevillard;000;Commune hors attraction des villes;30;01;84
01102;Chevroux;084;Mâcon;20;01;84
01103;Chevry;GEN;Genève - Annemasse (partie française);20;01;84
01104;Chézery-Forens;000;Commune hors attraction des villes;30;01;84
01105;Civrieux;002;Lyon;20;01;84
01106;Cize;080;Bourg-en-Bresse;20;01;84
01107;Cleyzieu;243;Ambérieu-en-Bugey;20;01;84
01108;Coligny;080;Bourg-en-Bresse;20;01;84
01109;Collonges;GEN;Genève - Annemasse (partie française);20;01;84
01110;Colomieu;286;Belley;20;01;84
01111;Conand;243;Ambérieu-en-Bugey;20;01;84
01112;Condamine;000;Commune hors attraction des villes;30;01;84
01113;Condeissiat;080;Bourg-en-Bresse;20;01;84
01114;Confort;GEN;Genève - Annemasse (partie française);20;01;84
01115;Confrançon;080;Bourg-en-Bresse;20;01;84
01116;Contrevoz;286;Belley;20;01;84
01117;Conzieu;286;Belley;20;01;84
01118;Corbonod;000;Commune hors attraction des villes;30;01;84
01121;Corlier;572;Plateau d'Hauteville;20;01;84
01123;Cormoranche-sur-Saône;084;Mâcon;20;01;84
01124;Cormoz;080;Bourg-en-Bresse;20;01;84
01125;Corveissiat;168;Oyonnax;20;01;84
01127;Courmangoux;080;Bourg-en-Bresse;20;01;84
01128;Courtes;000;Commune hors attraction des villes;30;01;84
01129;Crans;002;Lyon;20;01;84
01130;Bresse Vallons;080;Bourg-en-Bresse;20;01;84
01133;Cressin-Rochefort;286;Belley;20;01;84
01134;Crottet;084;Mâcon;20;01;84
01135;Crozet;GEN;Genève - Annemasse (partie française);20;01;84
01136;Cruzilles-lès-Mépillat;084;Mâcon;20;01;84
01138;Culoz-Béon;652;Culoz-Béon;11;01;84
01139;Curciat-Dongalon;080;Bourg-en-Bresse;20;01;84
01140;Curtafond;080;Bourg-en-Bresse;20;01;84
01141;Cuzieu;286;Belley;20;01;84
01142;Dagneux;002;Lyon;20;01;84
01143;Divonne-les-Bains;GEN;Genève - Annemasse (partie française);20;01;84
01145;Dompierre-sur-Veyle;080;Bourg-en-Bresse;20;01;84
01146;Dompierre-sur-Chalaronne;524;Châtillon-sur-Chalaronne;20;01;84
01147;Domsure;080;Bourg-en-Bresse;20;01;84
01148;Dortan;168;Oyonnax;20;01;84
01149;Douvres;243;Ambérieu-en-Bugey;20;01;84
01150;Drom;080;Bourg-en-Bresse;20;01;84
01151;Druillat;080;Bourg-en-Bresse;20;01;84
01152;Échallon;168;Oyonnax;20;01;84
01153;Échenevex;GEN;Genève - Annemasse (partie française);20;01;84
01155;Évosges;572;Plateau d'Hauteville;20;01;84
01156;Faramans;002;Lyon;20;01;84
01157;Fareins;002;Lyon;20;01;84
01158;Farges;GEN;Genève - Annemasse (partie française);20;01;84
01159;Feillens;084;Mâcon;20;01;84
01160;Ferney-Voltaire;GEN;Genève - Annemasse (partie française);20;01;84
01162;Flaxieu;286;Belley;20;01;84
01163;Foissiat;080;Bourg-en-Bresse;20;01;84
01165;Francheleins;000;Commune hors attraction des villes;30;01;84
01166;Frans;002;Lyon;20;01;84
01167;Garnerans;084;Mâcon;20;01;84
01169;Genouilleux;000;Commune hors attraction des villes;30;01;84
01170;Béard-Géovreissiat;168;Oyonnax;20;01;84
01171;Géovreisset;168;Oyonnax;20;01;84
01173;Gex;GEN;Genève - Annemasse (partie française);20;01;84
01174;Giron;000;Commune hors attraction des villes;30;01;84
01175;Gorrevod;084;Mâcon;20;01;84
01177;Grand-Corent;080;Bourg-en-Bresse;20;01;84
01179;Grièges;084;Mâcon;20;01;84
01180;Grilly;GEN;Genève - Annemasse (partie française);20;01;84
01181;Groissiat;168;Oyonnax;20;01;84
01183;Guéreins;000;Commune hors attraction des villes;30;01;84
01184;Hautecourt-Romanèche;080;Bourg-en-Bresse;20;01;84
01185;Plateau d'Hauteville;572;Plateau d'Hauteville;11;01;84
01187;Haut Valromey;000;Commune hors attraction des villes;30;01;84
01188;Illiat;000;Commune hors attraction des villes;30;01;84
01189;Injoux-Génissiat;GEN;Genève - Annemasse (partie française);20;01;84
01190;Innimond;000;Commune hors attraction des villes;30;01;84
01191;Izenave;000;Commune hors attraction des villes;30;01;84
01192;Izernore;168;Oyonnax;20;01;84
01193;Izieu;000;Commune hors attraction des villes;30;01;84
01194;Jassans-Riottier;002;Lyon;20;01;84
01195;Jasseron;080;Bourg-en-Bresse;20;01;84
01196;Jayat;080;Bourg-en-Bresse;20;01;84
01197;Journans;080;Bourg-en-Bresse;20;01;84
01198;Joyeux;002;Lyon;20;01;84
01199;Jujurieux;243;Ambérieu-en-Bugey;20;01;84
01200;Labalme;000;Commune hors attraction des villes;30;01;84
01202;Lagnieu;505;Lagnieu;11;01;84
01203;Laiz;084;Mâcon;20;01;84
01204;Le Poizat-Lalleyriat;000;Commune hors attraction des villes;30;01;84
01206;Lantenay;000;Commune hors attraction des villes;30;01;84
01207;Lapeyrouse;002;Lyon;20;01;84
01208;Lavours;286;Belley;20;01;84
01209;Léaz;GEN;Genève - Annemasse (partie française);20;01;84
01210;Lélex;000;Commune hors attraction des villes;30;01;84
01211;Lent;080;Bourg-en-Bresse;20;01;84
01212;Lescheroux;080;Bourg-en-Bresse;20;01;84
01213;Leyment;002;Lyon;20;01;84
01214;Leyssard;168;Oyonnax;20;01;84
01215;Surjoux-Lhopital;GEN;Genève - Annemasse (partie française);20;01;84
01216;Lhuis;000;Commune hors attraction des villes;30;01;84
01219;Lompnas;000;Commune hors attraction des villes;30;01;84
01224;Loyettes;002;Lyon;20;01;84
01225;Lurcy;002;Lyon;20;01;84
01227;Magnieu;286;Belley;20;01;84
01228;Maillat;000;Commune hors attraction des villes;30;01;84
01229;Malafretaz;080;Bourg-en-Bresse;20;01;84
01230;Mantenay-Montlin;080;Bourg-en-Bresse;20;01;84
01231;Manziat;084;Mâcon;20;01;84
01232;Marboz;080;Bourg-en-Bresse;20;01;84
01233;Marchamp;000;Commune hors attraction des villes;30;01;84
01234;Marignieu;286;Belley;20;01;84
01235;Marlieux;002;Lyon;20;01;84
01236;Marsonnas;080;Bourg-en-Bresse;20;01;84
01237;Martignat;168;Oyonnax;20;01;84
01238;Massieux;002;Lyon;20;01;84
01239;Massignieu-de-Rives;286;Belley;20;01;84
01240;Matafelon-Granges;168;Oyonnax;20;01;84
01241;Meillonnas;080;Bourg-en-Bresse;20;01;84
01242;Mérignat;000;Commune hors attraction des villes;30;01;84
01243;Messimy-sur-Saône;002;Lyon;20;01;84
01244;Meximieux;002;Lyon;20;01;84
01245;Bohas-Meyriat-Rignat;080;Bourg-en-Bresse;20;01;84
01246;Mézériat;080;Bourg-en-Bresse;20;01;84
01247;Mijoux;GEN;Genève - Annemasse (partie française);20;01;84
01248;Mionnay;002;Lyon;20;01;84
01249;Miribel;002;Lyon;20;01;84
01250;Misérieux;002;Lyon;20;01;84
01252;Mogneneins;000;Commune hors attraction des villes;30;01;84
01254;Montagnat;080;Bourg-en-Bresse;20;01;84
01255;Montagnieu;000;Commune hors attraction des villes;30;01;84
01257;Montanges;GEN;Genève - Annemasse (partie française);20;01;84
01258;Montceaux;000;Commune hors attraction des villes;30;01;84
01259;Montcet;080;Bourg-en-Bresse;20;01;84
01260;Le Montellier;002;Lyon;20;01;84
01261;Monthieux;002;Lyon;20;01;84
01262;Montluel;002;Lyon;20;01;84
01263;Montmerle-sur-Saône;000;Commune hors attraction des villes;30;01;84
01264;Montracol;080;Bourg-en-Bresse;20;01;84
01265;Montréal-la-Cluse;168;Oyonnax;20;01;84
01266;Montrevel-en-Bresse;080;Bourg-en-Bresse;20;01;84
01267;Nurieux-Volognat;168;Oyonnax;20;01;84
01268;Murs-et-Gélignieux;286;Belley;20;01;84
01269;Nantua;000;Commune hors attraction des villes;30;01;84
01272;Neuville-les-Dames;524;Châtillon-sur-Chalaronne;20;01;84
01273;Neuville-sur-Ain;000;Commune hors attraction des villes;30;01;84
01274;Les Neyrolles;000;Commune hors attraction des villes;30;01;84
01275;Neyron;002;Lyon;20;01;84
01276;Niévroz;002;Lyon;20;01;84
01277;Nivollet-Montgriffon;000;Commune hors attraction des villes;30;01;84
01279;Oncieu;000;Commune hors attraction des villes;30;01;84
01280;Ordonnaz;000;Commune hors attraction des villes;30;01;84
01281;Ornex;GEN;Genève - Annemasse (partie française);20;01;84
01282;Outriaz;000;Commune hors attraction des villes;30;01;84
01283;Oyonnax;168;Oyonnax;11;01;84
01284;Ozan;084;Mâcon;20;01;84
01285;Parcieux;002;Lyon;20;01;84
01286;Parves et Nattages;050;Chambéry;20;01;84
01288;Péron;GEN;Genève - Annemasse (partie française);20;01;84
01289;Péronnas;080;Bourg-en-Bresse;12;01;84
01290;Pérouges;002;Lyon;20;01;84
01291;Perrex;080;Bourg-en-Bresse;20;01;84
01293;Peyriat;168;Oyonnax;20;01;84
01294;Peyrieu;286;Belley;20;01;84
01295;Peyzieux-sur-Saône;000;Commune hors attraction des villes;30;01;84
01296;Pirajoux;080;Bourg-en-Bresse;20;01;84
01297;Pizay;002;Lyon;20;01;84
01298;Plagne;168;Oyonnax;20;01;84
01299;Le Plantay;002;Lyon;20;01;84
01301;Polliat;080;Bourg-en-Bresse;20;01;84
01302;Pollieu;286;Belley;20;01;84
01303;Poncin;000;Commune hors attraction des villes;30;01;84
01304;Pont-d'Ain;000;Commune hors attraction des villes;30;01;84
01305;Pont-de-Vaux;084;Mâcon;20;01;84
01306;Pont-de-Veyle;084;Mâcon;20;01;84
01307;Port;168;Oyonnax;20;01;84
01308;Pougny;GEN;Genève - Annemasse (partie française);20;01;84
01309;Pouillat;080;Bourg-en-Bresse;20;01;84
01310;Prémeyzel;286;Belley;20;01;84
01311;Prémillieu;000;Commune hors attraction des villes;30;01;84
01313;Prévessin-Moëns;GEN;Genève - Annemasse (partie française);20;01;84
01314;Priay;002;Lyon;20;01;84
01317;Ramasse;080;Bourg-en-Bresse;20;01;84
01318;Rancé;002;Lyon;20;01;84
01319;Relevant;524;Châtillon-sur-Chalaronne;20;01;84
01320;Replonges;084;Mâcon;20;01;84
01321;Revonnas;080;Bourg-en-Bresse;20;01;84
01322;Reyrieux;002;Lyon;20;01;84
01323;Reyssouze;084;Mâcon;20;01;84
01325;Rignieux-le-Franc;002;Lyon;20;01;84
01328;Romans;080;Bourg-en-Bresse;20;01;84
01329;Rossillon;286;Belley;20;01;84
01330;Ruffieu;000;Commune hors attraction des villes;30;01;84
01331;Saint-Alban;000;Commune hors attraction des villes;30;01;84
01332;Saint-André-de-Bâgé;084;Mâcon;20;01;84
01333;Saint-André-de-Corcy;002;Lyon;20;01;84
01334;Saint-André-d'Huiriat;084;Mâcon;20;01;84
01335;Saint-André-le-Bouchoux;002;Lyon;20;01;84
01336;Saint-André-sur-Vieux-Jonc;080;Bourg-en-Bresse;20;01;84
01337;Saint-Bénigne;084;Mâcon;20;01;84
01338;Groslée-Saint-Benoit;000;Commune hors attraction des villes;30;01;84
01339;Saint-Bernard;002;Lyon;20;01;84
01342;Sainte-Croix;002;Lyon;20;01;84
01343;Saint-Cyr-sur-Menthon;084;Mâcon;20;01;84
01344;Saint-Denis-lès-Bourg;080;Bourg-en-Bresse;12;01;84
01345;Saint-Denis-en-Bugey;243;Ambérieu-en-Bugey;12;01;84
01346;Saint-Didier-d'Aussiat;080;Bourg-en-Bresse;20;01;84
01347;Saint-Didier-de-Formans;002;Lyon;20;01;84
01348;Saint-Didier-sur-Chalaronne;638;Saint-Didier-sur-Chalaronne;11;01;84
01349;Saint-Éloi;002;Lyon;20;01;84
01350;Saint-Étienne-du-Bois;080;Bourg-en-Bresse;20;01;84
01351;Saint-Étienne-sur-Chalaronne;000;Commune hors attraction des villes;30;01;84
01352;Saint-Étienne-sur-Reyssouze;084;Mâcon;20;01;84
01353;Sainte-Euphémie;002;Lyon;20;01;84
01354;Saint-Genis-Pouilly;GEN;Genève - Annemasse (partie française);20;01;84
01355;Saint-Genis-sur-Menthon;080;Bourg-en-Bresse;20;01;84
01356;Saint-Georges-sur-Renon;002;Lyon;20;01;84
01357;Saint-Germain-de-Joux;000;Commune hors attraction des villes;30;01;84
01358;Saint-Germain-les-Paroisses;286;Belley;20;01;84
01359;Saint-Germain-sur-Renon;002;Lyon;20;01;84
01360;Saint-Jean-de-Gonville;GEN;Genève - Annemasse (partie française);20;01;84
01361;Saint-Jean-de-Niost;002;Lyon;20;01;84
01362;Saint-Jean-de-Thurigneux;002;Lyon;20;01;84
01363;Saint-Jean-le-Vieux;243;Ambérieu-en-Bugey;20;01;84
01364;Saint-Jean-sur-Reyssouze;080;Bourg-en-Bresse;20;01;84
01365;Saint-Jean-sur-Veyle;084;Mâcon;20;01;84
01366;Sainte-Julie;002;Lyon;20;01;84
01367;Saint-Julien-sur-Reyssouze;080;Bourg-en-Bresse;20;01;84
01368;Saint-Julien-sur-Veyle;000;Commune hors attraction des villes;30;01;84
01369;Saint-Just;080;Bourg-en-Bresse;20;01;84
01370;Saint-Laurent-sur-Saône;084;Mâcon;12;01;84
01371;Saint-Marcel;002;Lyon;20;01;84
01372;Saint-Martin-de-Bavel;286;Belley;20;01;84
01373;Saint-Martin-du-Frêne;000;Commune hors attraction des villes;30;01;84
01374;Saint-Martin-du-Mont;080;Bourg-en-Bresse;20;01;84
01375;Saint-Martin-le-Châtel;080;Bourg-en-Bresse;20;01;84
01376;Saint-Maurice-de-Beynost;002;Lyon;20;01;84
01378;Saint-Maurice-de-Gourdans;002;Lyon;20;01;84
01379;Saint-Maurice-de-Rémens;002;Lyon;20;01;84
01380;Saint-Nizier-le-Bouchoux;080;Bourg-en-Bresse;20;01;84
01381;Saint-Nizier-le-Désert;002;Lyon;20;01;84
01382;Sainte-Olive;002;Lyon;20;01;84
01383;Saint-Paul-de-Varax;002;Lyon;20;01;84
01384;Saint-Rambert-en-Bugey;243;Ambérieu-en-Bugey;20;01;84
01385;Saint-Rémy;080;Bourg-en-Bresse;20;01;84
01386;Saint-Sorlin-en-Bugey;505;Lagnieu;12;01;84
01387;Saint-Sulpice;080;Bourg-en-Bresse;20;01;84
01388;Saint-Trivier-de-Courtes;000;Commune hors attraction des villes;30;01;84
01389;Saint-Trivier-sur-Moignans;002;Lyon;20;01;84
01390;Saint-Vulbas;002;Lyon;20;01;84
01391;Salavre;080;Bourg-en-Bresse;20;01;84
01392;Samognat;168;Oyonnax;20;01;84
01393;Sandrans;002;Lyon;20;01;84
01396;Sault-Brénaz;000;Commune hors attraction des villes;30;01;84
01397;Sauverny;GEN;Genève - Annemasse (partie française);20;01;84
01398;Savigneux;002;Lyon;20;01;84
01399;Ségny;GEN;Genève - Annemasse (partie française);20;01;84
01400;Seillonnaz;000;Commune hors attraction des villes;30;01;84
01401;Sergy;GEN;Genève - Annemasse (partie française);20;01;84
01402;Sermoyer;000;Commune hors attraction des villes;30;01;84
01403;Serrières-de-Briord;000;Commune hors attraction des villes;30;01;84
01404;Serrières-sur-Ain;000;Commune hors attraction des villes;30;01;84
01405;Servas;080;Bourg-en-Bresse;20;01;84
01406;Servignat;000;Commune hors attraction des villes;30;01;84
01407;Seyssel;000;Commune hors attraction des villes;30;01;84
01408;Simandre-sur-Suran;080;Bourg-en-Bresse;20;01;84
01410;Sonthonnax-la-Montagne;168;Oyonnax;20;01;84
01411;Souclin;505;Lagnieu;20;01;84
01412;Sulignat;000;Commune hors attraction des villes;30;01;84
01415;Talissieu;652;Culoz-Béon;20;01;84
01416;Tenay;000;Commune hors attraction des villes;30;01;84
01418;Thil;002;Lyon;20;01;84
01419;Thoiry;GEN;Genève - Annemasse (partie française);20;01;84
01420;Thoissey;638;Saint-Didier-sur-Chalaronne;12;01;84
01421;Torcieu;243;Ambérieu-en-Bugey;20;01;84
01422;Tossiat;080;Bourg-en-Bresse;20;01;84
01423;Toussieux;002;Lyon;20;01;84
01424;Tramoyes;002;Lyon;20;01;84
01425;La Tranclière;080;Bourg-en-Bresse;20;01;84
01426;Val-Revermont;080;Bourg-en-Bresse;20;01;84
01427;Trévoux;002;Lyon;20;01;84
01428;Valeins;000;Commune hors attraction des villes;30;01;84
01429;Vandeins;080;Bourg-en-Bresse;20;01;84
01430;Varambon;243;Ambérieu-en-Bugey;20;01;84
01431;Vaux-en-Bugey;243;Ambérieu-en-Bugey;20;01;84
01432;Verjon;080;Bourg-en-Bresse;20;01;84
01433;Vernoux;000;Commune hors attraction des villes;30;01;84
01434;Versailleux;002;Lyon;20;01;84
01435;Versonnex;GEN;Genève - Annemasse (partie française);20;01;84
01436;Vesancy;GEN;Genève - Annemasse (partie française);20;01;84
01437;Vescours;000;Commune hors attraction des villes;30;01;84
01439;Vésines;084;Mâcon;20;01;84
01441;Vieu-d'Izenave;000;Commune hors attraction des villes;30;01;84
01443;Villars-les-Dombes;002;Lyon;20;01;84
01444;Villebois;000;Commune hors attraction des villes;30;01;84
01445;Villemotier;080;Bourg-en-Bresse;20;01;84
01446;Villeneuve;002;Lyon;20;01;84
01447;Villereversure;080;Bourg-en-Bresse;20;01;84
01448;Villes;GEN;Genève - Annemasse (partie française);20;01;84
01449;Villette-sur-Ain;000;Commune hors attraction des villes;30;01;84
01450;Villieu-Loyes-Mollon;002;Lyon;20;01;84
01451;Viriat;080;Bourg-en-Bresse;20;01;84
01452;Virieu-le-Grand;286;Belley;20;01;84
01453;Arvière-en-Valromey;000;Commune hors attraction des villes;30;01;84
01454;Virignin;286;Belley;20;01;84
01456;Vongnes;286;Belley;20;01;84
01457;Vonnas;080;Bourg-en-Bresse;20;01;84
02001;Abbécourt;273;Chauny;20;02;32
02002;Achery;283;Tergnier;20;02;32
02003;Acy;128;Soissons;20;02;32
02004;Agnicourt-et-Séchelles;000;Commune hors attraction des villes;30;02;32
02005;Aguilcourt;036;Reims;20;02;32
02006;Aisonville-et-Bernoville;000;Commune hors attraction des villes;30;02;32
02007;Aizelles;036;Reims;20;02;32
02008;Aizy-Jouy;128;Soissons;20;02;32
02009;Alaincourt;094;Saint-Quentin;20;02;32
02010;Allemant;128;Soissons;20;02;32
02011;Ambleny;128;Soissons;20;02;32
02012;Ambrief;128;Soissons;20;02;32
02013;Amifontaine;036;Reims;20;02;32
02014;Amigny-Rouy;273;Chauny;20;02;32
02015;Ancienville;001;Paris;20;02;32
02016;Andelain;283;Tergnier;20;02;32
02017;Anguilcourt-le-Sart;283;Tergnier;20;02;32
02018;Anizy-le-Grand;136;Laon;20;02;32
02019;Annois;000;Commune hors attraction des villes;30;02;32
02020;Any-Martin-Rieux;308;Hirson;20;02;32
02021;Archon;000;Commune hors attraction des villes;30;02;32
02022;Arcy-Sainte-Restitue;000;Commune hors attraction des villes;30;02;32
02023;Armentières-sur-Ourcq;209;Château-Thierry;20;02;32
02024;Arrancy;036;Reims;20;02;32
02025;Artemps;094;Saint-Quentin;20;02;32
02027;Assis-sur-Serre;136;Laon;20;02;32
02028;Athies-sous-Laon;136;Laon;20;02;32
02029;Attilly;094;Saint-Quentin;20;02;32
02030;Aubencheul-aux-Bois;094;Saint-Quentin;20;02;32
02031;Aubenton;308;Hirson;20;02;32
02032;Aubigny-aux-Kaisnes;000;Commune hors attraction des villes;30;02;32
02033;Aubigny-en-Laonnois;000;Commune hors attraction des villes;30;02;32
02034;Audignicourt;000;Commune hors attraction des villes;30;02;32
02035;Audigny;466;Guise;20;02;32
02036;Augy;128;Soissons;20;02;32
02037;Aulnois-sous-Laon;136;Laon;20;02;32
02038;Les Autels;000;Commune hors attraction des villes;30;02;32
02039;Autremencourt;136;Laon;20;02;32
02040;Autreppes;000;Commune hors attraction des villes;30;02;32
02041;Autreville;273;Chauny;20;02;32
02042;Azy-sur-Marne;001;Paris;20;02;32
02043;Bagneux;128;Soissons;20;02;32
02044;Bancigny;000;Commune hors attraction des villes;30;02;32
02046;Barenton-Bugny;136;Laon;20;02;32
02047;Barenton-Cel;136;Laon;20;02;32
02048;Barenton-sur-Serre;136;Laon;20;02;32
02049;Barisis-aux-Bois;000;Commune hors attraction des villes;30;02;32
02050;Barzy-en-Thiérache;494;Le Nouvion-en-Thiérache;20;02;32
02051;Barzy-sur-Marne;000;Commune hors attraction des villes;30;02;32
02052;Bassoles-Aulers;128;Soissons;20;02;32
02053;Vallées en Champagne;000;Commune hors attraction des villes;30;02;32
02054;Bazoches-et-Saint-Thibaut;036;Reims;20;02;32
02055;Beaumé;308;Hirson;20;02;32
02056;Beaumont-en-Beine;000;Commune hors attraction des villes;30;02;32
02057;Beaurevoir;094;Saint-Quentin;20;02;32
02058;Beaurieux;036;Reims;20;02;32
02059;Beautor;283;Tergnier;12;02;32
02060;Beauvois-en-Vermandois;094;Saint-Quentin;20;02;32
02061;Becquigny;571;Bohain-en-Vermandois;20;02;32
02062;Belleau;001;Paris;20;02;32
02063;Bellenglise;094;Saint-Quentin;20;02;32
02064;Belleu;128;Soissons;12;02;32
02065;Bellicourt;094;Saint-Quentin;20;02;32
02066;Benay;094;Saint-Quentin;20;02;32
02067;Bergues-sur-Sambre;494;Le Nouvion-en-Thiérache;20;02;32
02068;Berlancourt;000;Commune hors attraction des villes;30;02;32
02069;Berlise;000;Commune hors attraction des villes;30;02;32
02070;Bernot;094;Saint-Quentin;20;02;32
02071;Berny-Rivière;128;Soissons;20;02;32
02072;Berrieux;036;Reims;20;02;32
02073;Berry-au-Bac;036;Reims;20;02;32
02074;Bertaucourt-Epourdon;136;Laon;20;02;32
02075;Berthenicourt;094;Saint-Quentin;20;02;32
02076;Bertricourt;036;Reims;20;02;32
02078;Besmé;000;Commune hors attraction des villes;30;02;32
02079;Besmont;308;Hirson;20;02;32
02080;Besny-et-Loizy;136;Laon;20;02;32
02081;Béthancourt-en-Vaux;273;Chauny;20;02;32
02082;Beugneux;209;Château-Thierry;20;02;32
02083;Beuvardes;209;Château-Thierry;20;02;32
02084;Bézu-le-Guéry;001;Paris;20;02;32
02085;Bézu-Saint-Germain;209;Château-Thierry;20;02;32
02086;Bichancourt;273;Chauny;20;02;32
02087;Bieuxy;128;Soissons;20;02;32
02088;Bièvres;136;Laon;20;02;32
02089;Billy-sur-Aisne;128;Soissons;20;02;32
02090;Billy-sur-Ourcq;001;Paris;20;02;32
02091;Blanzy-lès-Fismes;036;Reims;20;02;32
02093;Blérancourt;000;Commune hors attraction des villes;30;02;32
02094;Blesmes;209;Château-Thierry;20;02;32
02095;Bohain-en-Vermandois;571;Bohain-en-Vermandois;11;02;32
02096;Bois-lès-Pargny;136;Laon;20;02;32
02097;Boncourt;000;Commune hors attraction des villes;30;02;32
02098;Bonneil;209;Château-Thierry;20;02;32
02099;Bonnesvalyn;209;Château-Thierry;20;02;32
02100;Bony;094;Saint-Quentin;20;02;32
02101;Bosmont-sur-Serre;000;Commune hors attraction des villes;30;02;32
02102;Bouconville-Vauclair;036;Reims;20;02;32
