Transporteur;Gare origine;Gare origine - code UIC;Destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;TOULON;87755009;2;Tarif Réglementé;106;168
TGV INOUI;AIX EN PROVENCE TGV;87319012;AVIGNON TGV;87318964;1;Tarif Normal;17;54
TGV INOUI;CANNES;87757625;BELFORT-MONTBELIARD TGV;87300822;2;Tarif Réglementé;115;159
TGV INOUI;TOURCOING;87286542;ROUBAIX;87286732;1;Tarif Normal;4;8
TGV INOUI;BOULOGNE VILLE;87317586;CALAIS FRETHUN;87281071;1;Tarif Réglementé;11;11
TGV INOUI;DIJON VILLE;87713040;LILLE FLANDRES;87286005;1;Tarif Normal;31;160
TGV INOUI;AVIGNON TGV;87318964;MASSY PALAISEAU;87393579;2;Tarif Normal;25;131
TGV INOUI;BESANCON - F COMTE TGV;87300863;ALBERTVILLE;87741645;1;Tarif Normal;24;96
TGV INOUI;MORLAIX;87474338;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;25;120
TGV INOUI;MARSEILLE ST CHARLES;87751008;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Réglementé;133;133
TGV INOUI;LILLE FLANDRES;87286005;ROUBAIX;87286732;1;Tarif Normal;7;11
TGV INOUI;AVIGNON TGV;87318964;ANNECY;87746008;2;Tarif Normal;20;80
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;NIORT;87485300;1;Tarif Normal;24;145
TGV INOUI;AIME LA PLAGNE;87741769;TGV HAUTE PICARDIE;87313882;1;Tarif Réglementé;128;128
TGV INOUI;LYON PART DIEU;87723197;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;29;157
TGV INOUI;AIX EN PROVENCE TGV;87319012;BESANCON - F COMTE TGV;87300863;1;Tarif Normal;26;168
TGV INOUI;LAVAL;87478404;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;25;97
TGV INOUI;LILLE FLANDRES;87286005;QUIMPERLE;87476317;2;Tarif Normal;25;131
TGV INOUI;LILLE FLANDRES;87286005;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;11;24
TGV INOUI;CANNES;87757625;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Normal;31;210
TGV INOUI;LILLE FLANDRES;87286005;ROUBAIX;87286732;1;Tarif Réglementé;7;7
TGV INOUI;AVIGNON TGV;87318964;LES ARCS DRAGUIGNAN;87755447;1;Tarif Normal;17;86
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Réglementé;132;132
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;BELFORT-MONTBELIARD TGV;87300822;2;Tarif Réglementé;98;160
TGV INOUI;ROUBAIX;87286732;ARRAS;87342014;1;Tarif Normal;12;42
TGV INOUI;MONTBARD;87713131;BESANCON - F COMTE TGV;87300863;1;Tarif Réglementé;48;48
TGV INOUI;AVIGNON TGV;87318964;ST PIERRE DES CORPS;87571240;2;Tarif Réglementé;103;168
TGV INOUI;LYON PERRACHE;87722025;BESANCON - F COMTE TGV;87300863;2;Tarif Normal;15;56
TGV INOUI;PORNICHET;87481747;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;40;98
TGV INOUI;LILLE FLANDRES;87286005;TGV HAUTE PICARDIE;87313882;1;Tarif Réglementé;26;26
TGV INOUI;MACON VILLE;87725689;BESANCON - F COMTE TGV;87300863;1;Tarif Normal;17;62
TGV INOUI;LE POULIGUEN;87481762;TGV HAUTE PICARDIE;87313882;1;Tarif Normal;46;131
TGV INOUI;NIMES;87775007;BELFORT-MONTBELIARD TGV;87300822;2;Tarif Réglementé;95;152
TGV INOUI;LILLE FLANDRES;87286005;BOULOGNE VILLE;87317586;1;Tarif Normal;36;43
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;BESANCON - F COMTE TGV;87300863;2;Tarif Réglementé;20;34
